attempt_number,submission_time,runtime_ms,score
1,2026-02-04T14:58:44.601145-08:00,40.59,85
2,2026-02-04T16:48:14.361116-08:00,31.31,90
3,2026-02-04T18:02:01.191118-08:00,-1,25.91
1,2026-02-04T17:03:55.023705-08:00,-1,90
1,2026-02-04T17:06:43.936617-08:00,10.53,95
1,2026-02-04T15:54:25.839073-08:00,16.6,90
2,2026-02-04T16:04:25.150412-08:00,-1,90
3,2026-02-04T16:20:51.352813-08:00,15.6,90
4,2026-02-04T17:11:42.593498-08:00,10.3,95
1,2026-02-04T17:12:08.803298-08:00,14.56,95
1,2026-02-04T16:37:25.405898-08:00,42.07,85
2,2026-02-04T16:50:30.922593-08:00,-1,90
3,2026-02-04T17:20:17.953233-08:00,10.02,95
1,2026-02-04T17:51:21.661783-08:00,14.51,95
1,2026-02-04T16:24:42.026908-08:00,14.56,95
2,2026-02-04T16:35:53.108859-08:00,-1,0
3,2026-02-04T17:08:09.956406-08:00,26.23,90
4,2026-02-04T17:15:41.291225-08:00,-1,0
5,2026-02-04T17:29:14.096780-08:00,7.33,95
6,2026-02-04T17:43:17.293244-08:00,13.19,95
7,2026-02-04T17:48:57.647480-08:00,,0
8,2026-02-04T17:51:21.647312-08:00,7.31,95
9,2026-02-04T21:47:23.182341-08:00,-1,0
10,2026-02-04T21:56:35.730475-08:00,-1,8.64
11,2026-02-04T22:14:51.045346-08:00,-1,0
1,2026-02-04T17:41:32.703459-08:00,41.12,85
2,2026-02-04T17:57:38.845165-08:00,37.63,90
1,2026-02-04T15:54:35.926178-08:00,,0
2,2026-02-04T16:56:35.082243-08:00,14.14,95
3,2026-02-04T17:59:46.300995-08:00,-1,95
1,2026-02-04T18:06:07.692946-08:00,-1,95
1,2026-02-04T18:23:48.573448-08:00,34.95,90
1,2026-02-04T15:58:29.624722-08:00,11.98,17.27
2,2026-02-04T18:26:52.670287-08:00,-1,95
1,2026-02-04T15:23:12.106962-08:00,,0
2,2026-02-04T18:28:29.232395-08:00,18.42,90
1,2026-02-04T18:35:04.524085-08:00,14.49,95
1,2026-02-04T16:33:26.744907-08:00,,0
2,2026-02-04T17:36:21.050737-08:00,15.87,90
3,2026-02-04T18:40:00.914909-08:00,11.38,95
1,2026-02-04T18:55:37.744953-08:00,15.3,90
1,2026-02-04T16:35:19.289370-08:00,41.36,85
2,2026-02-04T18:58:03.679013-08:00,41.35,85
1,2026-02-04T19:03:00.571755-08:00,-1,95
2,2026-02-04T21:35:52.131487-08:00,-1,95
1,2026-02-04T13:49:30.899970-08:00,,0
2,2026-02-04T17:20:47.937826-08:00,-1,95
3,2026-02-04T19:10:11.865846-08:00,2.29,95
1,2026-02-04T17:49:22.277932-08:00,,0
2,2026-02-04T19:14:59.271468-08:00,14.31,95
1,2026-02-03T02:41:50.475337-08:00,,0
2,2026-02-03T11:15:43.945242-08:00,62.11,0
3,2026-02-03T12:52:48.329102-08:00,-1,72.73
4,2026-02-03T14:56:39.449297-08:00,23.76,90
5,2026-02-03T16:20:52.707985-08:00,23.39,90
6,2026-02-03T23:05:34.075567-08:00,-1,-95
7,2026-02-04T14:04:10.198204-08:00,23.77,90
8,2026-02-04T19:15:46.514055-08:00,14.53,95
1,2026-02-04T19:19:44.900580-08:00,31.1,90
1,2026-02-04T19:21:21.658458-08:00,41.35,85
1,2026-02-02T19:41:42.088892-08:00,41.51,85
2,2026-02-04T19:22:29.317411-08:00,26.35,90
1,2026-02-04T19:26:40.283100-08:00,10,95
1,2026-02-04T18:20:40.056387-08:00,43.23,0
2,2026-02-04T19:38:17.999320-08:00,34.6,90
1,2026-02-04T19:42:57.313997-08:00,41.07,85
1,2026-02-03T22:47:03.105267-08:00,41.94,85
2,2026-02-04T19:44:45.201391-08:00,35.33,90
1,2026-02-03T20:54:58.622271-08:00,13.87,95
2,2026-02-04T17:51:47.524226-08:00,-1,95
3,2026-02-04T19:50:33.274276-08:00,-1,95
4,2026-02-04T21:01:31.545516-08:00,-1,95
5,2026-02-04T23:10:13.201293-08:00,-1,95
1,2026-02-03T21:43:34.682659-08:00,79.02,0
2,2026-02-04T09:17:32.833664-08:00,189.69,0
3,2026-02-04T17:06:30.031495-08:00,16.54,46.82
4,2026-02-04T19:51:11.943244-08:00,16.69,90
1,2026-02-03T19:20:13.282493-08:00,,0
2,2026-02-03T21:31:36.366059-08:00,-1,90
3,2026-02-04T11:26:03.790235-08:00,8.11,95
4,2026-02-04T12:50:31.361577-08:00,-1,90
5,2026-02-04T17:59:18.626230-08:00,18.37,20.91
6,2026-02-04T19:51:48.350706-08:00,-1,95
1,2026-02-04T19:54:43.186397-08:00,-1,95
1,2026-02-03T01:01:12.771391-08:00,,0
2,2026-02-04T19:54:58.496137-08:00,-1,90
1,2026-02-04T18:00:35.395459-08:00,-1,0
2,2026-02-04T19:55:39.268777-08:00,40.74,85
1,2026-02-02T16:28:20.808343-08:00,,85
2,2026-02-02T16:38:59.358022-08:00,,85
3,2026-02-02T18:39:51.928070-08:00,,0
4,2026-02-02T20:51:42.864103-08:00,-1,85
5,2026-02-02T20:54:36.059138-08:00,,0
6,2026-02-02T20:58:54.772140-08:00,,0
7,2026-02-02T20:59:25.794059-08:00,,0
8,2026-02-03T01:06:41.244592-08:00,-1,90
9,2026-02-03T01:47:17.908567-08:00,-1,90
10,2026-02-03T02:04:20.862507-08:00,-1,90
11,2026-02-03T02:26:03.607073-08:00,-1,90
12,2026-02-03T10:17:02.994501-08:00,-1,90
13,2026-02-03T11:43:54.289957-08:00,28.92,90
14,2026-02-03T13:11:41.598696-08:00,-1,95
15,2026-02-04T20:10:09.334297-08:00,-1,95
1,2026-02-04T20:06:25.220896-08:00,,0
2,2026-02-04T20:15:01.248350-08:00,-1,95
1,2026-02-03T21:36:29.033126-08:00,-1,-95
2,2026-02-03T21:40:16.978311-08:00,-1,59.09
3,2026-02-03T22:00:08.004861-08:00,35.16,90
4,2026-02-03T23:12:05.679699-08:00,20.76,90
5,2026-02-04T19:33:11.048548-08:00,8.86,77.73
6,2026-02-04T20:14:31.330321-08:00,7.47,77.73
7,2026-02-04T20:22:04.180215-08:00,9.88,95
8,2026-02-04T20:31:56.036446-08:00,9.88,95
1,2026-02-02T12:53:28.421278-08:00,,0
2,2026-02-03T11:00:45.111658-08:00,,0
3,2026-02-04T12:08:30.972895-08:00,,0
4,2026-02-04T18:31:32.657724-08:00,,0
5,2026-02-04T20:43:43.960598-08:00,6.21,95
1,2026-02-04T19:28:27.595395-08:00,43.4,0
2,2026-02-04T19:36:39.748161-08:00,63.11,0
3,2026-02-04T19:55:44.180841-08:00,-1,90
4,2026-02-04T20:53:14.213273-08:00,14.47,95
1,2026-02-03T11:19:06.474755-08:00,36.09,90
2,2026-02-04T20:12:30.855005-08:00,31.36,46.82
3,2026-02-04T21:23:04.464209-08:00,35.98,90
1,2026-02-03T23:44:14.852485-08:00,34.57,90
2,2026-02-04T21:24:50.617350-08:00,8.96,95
1,2026-02-03T17:19:44.690831-08:00,41.35,85
2,2026-02-03T18:09:16.632982-08:00,31.88,90
3,2026-02-04T21:31:39.497887-08:00,11.94,95
1,2026-02-04T21:37:03.283443-08:00,16,90
1,2026-02-04T19:18:50.173927-08:00,,0
2,2026-02-04T19:28:53.054557-08:00,-1,90
3,2026-02-04T19:57:27.393860-08:00,16.28,90
4,2026-02-04T20:05:42.506113-08:00,16.29,90
5,2026-02-04T21:13:57.737346-08:00,12.89,17.27
6,2026-02-04T21:20:31.451401-08:00,15.12,90
7,2026-02-04T21:40:35.080703-08:00,14.5,95
1,2026-02-04T21:42:12.869749-08:00,14.69,95
1,2026-02-04T21:46:10.017710-08:00,41.26,85
1,2026-02-04T20:18:03.578997-08:00,-1,0
2,2026-02-04T21:46:41.677139-08:00,41.05,85
1,2026-02-04T21:53:43.384400-08:00,-1,95
1,2026-02-04T21:55:15.401627-08:00,14.77,95
1,2026-02-04T22:03:04.130685-08:00,14.74,95
1,2026-02-04T22:07:07.795440-08:00,14.15,95
1,2026-02-04T00:44:26.759480-08:00,41.34,85
2,2026-02-04T01:59:25.938613-08:00,,0
3,2026-02-04T02:06:44.611977-08:00,,0
4,2026-02-04T10:21:25.636445-08:00,14.57,51.82
5,2026-02-04T22:12:01.272262-08:00,14.52,95
1,2026-02-04T21:03:56.107518-08:00,41.35,85
2,2026-02-04T22:18:06.622472-08:00,14.58,95
1,2026-02-02T16:37:19.255992-08:00,-1,95
2,2026-02-03T08:55:27.328150-08:00,-1,95
3,2026-02-03T10:39:51.245491-08:00,7.17,95
4,2026-02-03T10:58:17.699609-08:00,7.17,95
5,2026-02-04T19:56:01.180250-08:00,,0
6,2026-02-04T20:16:58.907682-08:00,,0
7,2026-02-04T20:27:10.818551-08:00,,0
8,2026-02-04T20:34:38.383818-08:00,,0
9,2026-02-04T20:38:25.876364-08:00,,0
10,2026-02-04T22:19:56.894448-08:00,-1,95
1,2026-02-04T20:34:21.251506-08:00,41.32,85
2,2026-02-04T22:20:35.140077-08:00,41.36,85
1,2026-02-04T22:21:04.508007-08:00,32.63,90
1,2026-02-04T15:15:11.639072-08:00,-1,0
2,2026-02-04T18:58:51.694686-08:00,43.36,0
3,2026-02-04T20:05:40.307878-08:00,-1,0
4,2026-02-04T21:23:51.040135-08:00,35.77,90
5,2026-02-04T22:25:05.580513-08:00,35.66,90
1,2026-02-03T20:45:34.904952-08:00,-1,0
2,2026-02-04T00:13:25.239659-08:00,-1,85
3,2026-02-04T02:24:08.532086-08:00,-1,0
4,2026-02-04T03:30:43.917237-08:00,43.28,0
5,2026-02-04T14:35:13.577283-08:00,-1,0
6,2026-02-04T22:32:40.504436-08:00,-1,95
1,2026-02-04T21:50:21.563763-08:00,16.73,90
2,2026-02-04T22:34:38.667402-08:00,-1,95
1,2026-02-04T21:06:27.168144-08:00,32.2,90
2,2026-02-04T21:30:59.464245-08:00,13.66,95
3,2026-02-04T22:42:08.606089-08:00,12.43,95
1,2026-02-04T19:33:13.543242-08:00,41.33,85
2,2026-02-04T19:50:48.098159-08:00,,0
3,2026-02-04T20:38:16.437487-08:00,40.63,85
4,2026-02-04T22:44:34.088016-08:00,39.91,90
1,2026-02-04T19:11:09.672438-08:00,26.38,90
2,2026-02-04T22:59:26.247391-08:00,12.38,95
1,2026-02-04T15:52:35.005679-08:00,13.17,95
2,2026-02-04T23:16:44.889242-08:00,12.27,95
1,2026-02-04T22:27:14.771294-08:00,,0
2,2026-02-04T23:22:03.898742-08:00,16.55,90
1,2026-02-04T19:25:36.188083-08:00,-1,0
2,2026-02-04T19:49:32.685130-08:00,,0
3,2026-02-04T20:17:25.207198-08:00,-1,85
4,2026-02-04T22:24:56.426891-08:00,42.01,85
5,2026-02-04T23:23:53.263354-08:00,16.45,90
1,2026-02-04T23:25:37.939401-08:00,14.52,95
1,2026-02-04T17:44:59.422503-08:00,,0
2,2026-02-04T18:02:34.486973-08:00,30.98,90
3,2026-02-04T21:10:21.680335-08:00,22.32,90
4,2026-02-04T21:43:14.000581-08:00,19.25,90
5,2026-02-04T21:54:44.917100-08:00,-1,95
6,2026-02-04T23:32:03.168202-08:00,-1,95
1,2026-02-04T23:32:57.713258-08:00,14.59,95
1,2026-02-04T23:33:10.652243-08:00,18.2,90
1,2026-02-04T21:56:24.587223-08:00,44.24,0
2,2026-02-04T23:34:45.737492-08:00,16.29,90
1,2026-02-04T23:35:24.760469-08:00,-1,90
1,2026-02-04T12:50:29.646702-08:00,25.46,90
2,2026-02-04T17:02:00.503148-08:00,,0
3,2026-02-04T18:50:08.573629-08:00,14.48,95
4,2026-02-04T23:40:40.403349-08:00,6.54,95
1,2026-02-04T22:28:36.959701-08:00,,0
2,2026-02-04T23:41:50.120519-08:00,14.52,95
1,2026-02-04T23:43:04.930171-08:00,-1,95
1,2026-02-04T23:47:09.901057-08:00,14.5,95
1,2026-02-04T21:23:48.256469-08:00,15.05,90
2,2026-02-04T22:24:43.579183-08:00,15.05,90
3,2026-02-04T23:47:21.262390-08:00,-1,95
1,2026-02-04T22:46:06.361370-08:00,-1,95
2,2026-02-04T23:48:32.654429-08:00,-1,95
1,2026-02-04T12:27:47.435293-08:00,41.02,85
2,2026-02-04T13:08:16.142608-08:00,35.61,90
3,2026-02-04T13:24:47.731495-08:00,28.97,46.82
4,2026-02-04T19:44:15.562312-08:00,-1,90
5,2026-02-04T20:03:52.791462-08:00,-1,90
6,2026-02-04T20:36:49.823786-08:00,-1,12.27
7,2026-02-04T20:50:15.256644-08:00,-1,90
8,2026-02-04T21:02:28.405600-08:00,-1,12.27
9,2026-02-04T21:08:04.099896-08:00,-1,0
10,2026-02-04T21:16:08.434457-08:00,-1,90
11,2026-02-04T21:43:35.206405-08:00,-1,12.27
12,2026-02-04T21:59:15.754305-08:00,-1,12.27
13,2026-02-04T22:43:18.705294-08:00,-1,90
14,2026-02-04T23:12:40.104277-08:00,-1,12.27
15,2026-02-04T23:25:33.270825-08:00,-1,12.27
16,2026-02-04T23:48:53.703243-08:00,-1,95
1,2026-02-04T23:52:35.343935-08:00,14.52,95
1,2026-02-02T13:05:27.284005-08:00,-1,95
2,2026-02-02T17:04:53.793806-08:00,-1,95
3,2026-02-02T19:59:32.318020-08:00,-1,95
4,2026-02-03T22:50:59.474194-08:00,-1,95
5,2026-02-04T23:53:20.167645-08:00,3.27,95
1,2026-02-04T06:35:35.088897-08:00,18.86,90
2,2026-02-04T22:09:16.998921-08:00,7.89,95
3,2026-02-04T23:54:20.164879-08:00,7.78,95
1,2026-02-05T00:51:39.040868-08:00,-1,95
1,2026-02-05T00:52:14.851917-08:00,-1,95
2,2026-02-05T00:56:44.843241-08:00,-1,95
1,2026-02-05T14:33:43.292240-08:00,14.57,95
1,2026-02-05T15:28:33.109826-08:00,13.64,95
1,2026-02-04T23:43:55.872764-08:00,-1,0
2,2026-02-05T13:33:06.028781-08:00,-1,0
3,2026-02-05T15:49:40.360347-08:00,41.36,85
1,2026-02-05T16:01:34.796827-08:00,17.11,90
1,2026-02-05T15:38:20.578680-08:00,-1,69.09
2,2026-02-05T15:50:27.402744-08:00,-1,95
3,2026-02-05T16:13:40.872713-08:00,-1,95
1,2026-02-05T16:15:48.578631-08:00,-1,95
1,2026-02-05T16:19:40.234297-08:00,14.74,95
1,2026-02-05T16:45:07.529820-08:00,-1,90
1,2026-02-05T16:46:58.587403-08:00,15.1,90
1,2026-02-05T18:52:58.956588-08:00,-1,95
1,2026-02-05T19:12:43.209964-08:00,-1,95
1,2026-02-04T16:51:05.093893-08:00,15.31,90
2,2026-02-05T19:40:33.014432-08:00,-1,95
1,2026-02-05T17:26:18.349170-08:00,41.48,85
2,2026-02-05T17:42:12.968323-08:00,63.16,0
3,2026-02-05T18:49:40.056223-08:00,-1,0
4,2026-02-05T19:34:39.631883-08:00,,0
5,2026-02-05T19:41:10.247483-08:00,,0
6,2026-02-05T19:44:03.061626-08:00,-1,90
1,2026-02-05T17:50:21.400262-08:00,,0
2,2026-02-05T19:38:39.050066-08:00,,0
3,2026-02-05T19:55:54.243661-08:00,-1,95
1,2026-02-05T20:34:36.252907-08:00,-1,0
2,2026-02-05T21:15:56.579857-08:00,-1,95
1,2026-02-05T21:55:11.129024-08:00,-1,95
1,2026-02-05T17:03:20.204829-08:00,12.38,43.18
2,2026-02-05T21:39:28.159193-08:00,-1,51.82
3,2026-02-05T22:12:01.120789-08:00,-1,95
4,2026-02-05T22:18:16.041307-08:00,-1,60.45
5,2026-02-05T22:30:50.000394-08:00,-1,60.45
1,2026-02-05T18:16:04.870776-08:00,-1,85
2,2026-02-05T20:34:55.815003-08:00,-1,86.36
3,2026-02-05T22:20:46.570723-08:00,-1,95
1,2026-02-04T22:59:53.187094-08:00,14.57,95
2,2026-02-05T22:45:32.319287-08:00,-1,95
1,2026-02-05T22:54:45.391386-08:00,-1,95
1,2026-02-05T22:38:14.287257-08:00,,0
2,2026-02-05T22:58:22.894168-08:00,,0
3,2026-02-05T23:00:13.016909-08:00,-1,95
4,2026-02-05T23:04:29.200505-08:00,-1,95
1,2026-02-05T23:16:16.403389-08:00,-1,95
1,2026-02-05T23:25:18.124635-08:00,-1,64.09
2,2026-02-05T23:39:26.159653-08:00,-1,85
1,2026-02-06T01:42:17.119793-08:00,-1,85
1,2026-02-03T13:09:53.763160-08:00,,0
2,2026-02-03T14:58:17.236063-08:00,,0
3,2026-02-04T11:01:56.878366-08:00,,0
4,2026-02-04T14:14:18.575061-08:00,641.17,0
5,2026-02-04T21:50:30.270380-08:00,932.72,0
6,2026-02-04T23:44:59.265392-08:00,1081.92,0
7,2026-02-05T01:15:25.985457-08:00,-1,0
8,2026-02-05T13:02:52.725145-08:00,-1,0
9,2026-02-05T20:12:44.832587-08:00,-1,0
10,2026-02-05T20:24:03.507807-08:00,-1,0
11,2026-02-06T07:12:22.024199-08:00,-1,0
12,2026-02-06T09:26:44.972234-08:00,-1,95
1,2026-02-06T11:21:30.976574-08:00,-1,95
1,2026-02-04T19:37:30.098251-08:00,43.62,0
2,2026-02-04T22:33:07.968428-08:00,64.54,0
3,2026-02-04T23:39:49.427977-08:00,,0
4,2026-02-04T23:43:12.463546-08:00,-1,0
5,2026-02-04T23:45:08.436975-08:00,62.75,0
6,2026-02-05T23:21:27.915147-08:00,-1,0
7,2026-02-06T11:32:58.474298-08:00,-1,0
8,2026-02-06T12:36:08.317442-08:00,-1,85
1,2026-02-05T23:49:43.509199-08:00,-1,0
2,2026-02-05T23:54:53.800799-08:00,-1,0
3,2026-02-06T12:42:01.172735-08:00,-1,85
1,2026-02-06T14:20:37.654221-08:00,-1,95
1,2026-02-06T13:15:01.099598-08:00,-1,85
2,2026-02-06T14:52:18.025778-08:00,-1,90
1,2026-02-06T16:21:07.229893-08:00,-1,95
1,2026-02-06T16:17:16.273313-08:00,-1,0
2,2026-02-06T17:36:11.633162-08:00,-1,90
1,2026-02-06T19:43:55.576154-08:00,-1,95
1,2026-02-06T20:28:53.632650-08:00,-1,90
2,2026-02-06T21:33:59.637242-08:00,-1,95
1,2026-02-06T22:40:39.535250-08:00,-1,95
1,2026-02-07T06:03:40.778091-08:00,-1,90
1,2026-02-08T22:34:56.741491-08:00,-1,85
2,2026-02-08T23:50:02.865271-08:00,-1,90
1,2026-02-08T20:47:56.265455-08:00,,0
2,2026-02-09T09:18:25.640258-08:00,-1,90
1,2026-02-09T14:13:10.814207-08:00,-1,0
2,2026-02-09T15:15:34.357050-08:00,-1,51.82
3,2026-02-09T17:40:58.075059-08:00,-1,95
1,2026-02-09T22:25:18.381841-08:00,-1,95
